entity_name,head_count,tail_count,labels
Schizophrenia,4,8,['Disease']
studies,3,1,"['activity', 'Research Study', 'research']"
Fiber-deficient diet,3,0,['Dietary factor']
stool samples,3,2,"['Samples', 'Sample', 'Sample Type']"
VSL #3,3,0,['Probiotic']
tryptophan,3,2,"['Amino Acid', 'Chemical']"
microbiota composition,3,3,"['Biological Process', 'Microbiome']"
Host metabolites,3,1,['Metabolite']
Shotgun metagenomics sequencing (SMS),3,0,['Method']
RSDS Mice,3,0,['Animal Model']
short-chain fatty acids,3,4,"['Biochemical', 'Chemical', 'metabolite', 'Chemical Entity']"
cuprizone,3,0,['Chemical']
microbial metabolites,3,0,['chemical_substance']
maternal vaginal microbiota,3,0,['microbiota']
Pharmacomicrobiomics,3,0,['Scientific Field']
Irritable bowel syndrome (IBS),3,0,['Disease']
Christensenellaceae,3,1,['Microbial_Family']
Seabuckthorn,3,1,['Plant']
gut permeability,3,0,['BiologicalProcess']
psychosocial factors,3,0,['Factor']
prebiotic diet,3,0,['diet']
brain-gut axis,3,0,['biological system']
postbiotics,3,1,"['Therapeutic Agent', 'Substance']"
microbial dysbiosis,3,0,['Condition']
Prevotella,3,0,"['Organism', 'Bacteria', 'Bacterial Genus']"
Trichloroethylene,3,0,['Chemical']
intermittent fasting,3,1,['Intervention']
RNA-seq,3,0,['Method']
antibiotic use,3,0,['treatment']
diets,3,0,['Diet']
Lewy Body Dementia,3,1,['Disease']
amino acid metabolism pathways,3,1,['Pathway']
functional changes,3,1,['Effect']
phylum Proteobacteria,3,1,['Taxonomic Group']
Gut microbiome changes,3,0,['Biological Process']
ageing process,3,2,['Biological Process']
changes in certain taxa,3,0,['Biological Process']
neuroactive compounds,3,0,['Chemical']
pathways,3,1,['BiologicalPathway']
Olanzapine,3,0,['Substance']
Repeated Social Defeat Stress,3,0,['Stress Model']
targeting microbiome,3,0,['Therapeutic Strategy']
AGP-induced changes,3,0,['Effect']
vancomycin exposure,3,0,['Exposure']
cell danger response,3,0,['biological process']
China,3,0,"['Country', 'country']"
future directions,3,1,['concept']
Defects of Firmicutes,3,0,['Microbial Deficiency']
balanced diet,3,0,['diet']
chronic diseases,2,1,['Disease']
Bacteroidetes,2,0,"['Microbial Phylum', 'Bacterial Phylum']"
Co-morbid GI inflammation,2,0,['Condition']
Posttraumatic Stress Disorder (PTSD),2,0,['Mental Health Condition']
GI inflammation,2,1,['Condition']
gut microbiota signatures,2,0,['Microbial Community']
Boruta algorithm,2,0,['Algorithm']
patients' mental functioning,2,0,['condition']
shotgun metagenomic sequencing,2,0,"['Method', 'Sequencing Method']"
Beneficial effect,2,0,['Effect']
neuroinflammation,2,3,"['process', 'Biological Process', 'Pathological Process', 'Pathological condition']"
Intestinal microbiome,2,0,['Biological Entity']
Dietary fiber deficiency,2,0,['Dietary factor']
oral microbiota imbalance,2,0,['condition']
oral bacteria,2,1,['microorganism']
findings,2,0,['Research Findings']
Compositional alterations,2,0,['Change']
microbiome crosstalk,2,1,['Biological Interaction']
Stress,2,0,['Condition']
article,2,0,['publication']
K01626,2,0,['KEGG Orthology']
flu,2,0,['illness']
Probiotic consumption,2,0,['Behavior']
Dysregulation,2,0,['Physiological Process']
Gut microbial changes,2,0,"['Microbial Changes', 'Biological Process']"
USA,2,0,['country']
relative abundance,2,1,['Property']
IBS,2,2,"['Condition', 'Disease', 'disease']"
Functional genes,2,0,['Genetic Element']
bipolar disorder,2,3,"['disease', 'Disease']"
FD diet,2,0,['Dietary factor']
disturbances,2,0,['condition']
further research,2,1,['research']
future research,2,0,['Research Activity']
Danggui Buxue Decoction (DBD),2,0,['Herbal Medicine']
maternal rectal microbiota,2,0,['microbiota']
altered gut microbiome,2,2,"['Biological Process', 'Biological State']"
RF classification,2,0,['Model']
Genes Correlated with Gut Microbiota,2,0,['Gene Expression']
Dysbiosis,2,1,['Pathological Condition']
Intestinal Luminal Contents,2,1,['Biological Material']
mental health symptoms,2,0,"['Symptom', 'symptom']"
Akkermansia,2,0,"['Bacteria', 'Microbial Species']"
Increase in fiber intake,2,0,['Nutritional strategy']
Cognitive impairment,2,0,['Disease']
biological aging,2,2,['Biological Process']
Intestinal Epithelial Cells,2,0,['Cell Type']
Norepinephrine,2,1,['Neurotransmitter']
microglial activation,2,2,"['cellular activity', 'Pathological process']"
Fiber-deprived diet,2,0,['Dietary factor']
Bioactive polyphenols,2,0,['Micronutrient']
faecal samples,2,2,['Sample']
targeted therapeutic strategies,2,1,['therapy']
Alterations of microbes,2,0,['Trait']
Dietary modifications,2,0,['Intervention']
SCFA,2,0,"['Substance', 'Biochemical compound']"
maternal immune activation,2,1,['phenomenon']
endogenous processes,2,1,['Biological Process']
Romboutsia,2,0,['microbial taxon']
tryptophan transport,2,1,['transport process']
running exercises,2,0,['activity']
Crude Extract containing EPS (C-EPS),2,0,['Biological Extract']
Tremors predominant phenotype,2,0,['Phenotype']
metabolic memory,2,0,['biological memory']
Gut Commensal Bacteria,2,0,['Microbial Entity']
western diet,2,0,['diet']
Multiple sclerosis,2,0,['Disease']
serum SCFA content,2,0,['Biological Molecule']
Human Gut Microbiomes,2,0,['Organism']
antimicrobial resistance,2,1,['Concept']
Differential Expressed Genes,2,0,['Gene Expression']
Dialister,2,0,['Microbial Species']
Disturbance,2,0,['Condition']
HbA1c,2,1,['Biological Marker']
Alterations in the gut microbiome,2,2,['Biological process']
Parkinson's Disease,2,3,['Disease']
Influenza Infections,2,0,['Disease']
antidepressant drugs,2,0,['Substance']
small intestine,2,0,['Anatomical Structure']
chronic gut dysfunction,2,2,['Condition']
Gut Microbiome Modifications,2,1,['Process']
Repeated Social Defeat Stress (RSDS),2,0,['Stress Model']
Acetylated Starch,2,0,['Substance']
food processing,2,0,['Process']
fermented foods,2,1,['Food']
Stool Samples,2,2,['Sample']
patients after RYGB,2,0,['group']
Lachnospiraceae,2,1,"['Bacterial Family', 'Microbial Family', 'Taxa']"
Neuroactive compounds,2,0,['Chemical']
nutritional approaches,2,2,['concept']
future long-term human space expeditions,2,1,['Expedition']
animal experiments,2,0,['Experiment']
vancomycin,2,0,['Antibiotic']
Turicibacter,2,1,['microbiota']
AD,2,0,['Disease']
future studies,2,0,['Research Study']
decreased microbial diversity,2,0,['Biological Process']
herpesvirus,2,4,['Virus']
Megamonas,2,0,"['Bacterial Genus', 'Microbial Species']"
birds,2,0,['Organism']
taxa,2,0,['Taxonomic Group']
perturbation of gut microbiota,2,0,['biological disturbance']
Lactobacillus fermentum GR1009,2,0,['Bacteria Strain']
CSF1R inhibitor,2,0,['pharmacological agent']
altering gut microbiota,2,0,['Therapeutic Strategy']
LBD,2,0,['Disease']
PD,2,0,['Disease']
next-generation feed additives,2,1,['Substance']
oral microbiota,2,0,['Biological Process']
Flavonifractor,2,1,['Microbial_Genus']
medicinal herbs,2,0,['therapy']
Chronic Mild Stress,2,0,['Stress Model']
enteric and brain barrier reinforcement,2,2,['concept']
sensing and trafficking modulation,2,2,['concept']
Clostridium,2,0,"['Taxonomic Group', 'microbial genus']"
Sanada et al. (2020),2,0,['Research Study']
Healthy diet,2,0,['Diet']
improvement in gut microbiota,2,0,['BiologicalProcess']
Coprococcus 1,2,1,['microbiota']
Non-probiotic interventions,2,0,['Intervention']
Psychological health risk,2,0,['Risk']
Individuals affected by NDD,2,0,['Population']
Eggerthellaceae,2,1,['microbiota']
metabolic products of dysregulated bacteria,2,0,['biological product']
Caloric restriction,2,0,['Intervention']
microbiome manipulations,2,2,['concept']
Maternal prenatal gut microbiota,2,0,['Microbiota']
unbalanced dietary intake,2,6,['diet']
altered microbiota,2,0,['Organism']
neuroanatomy,2,1,['biological structure']
maternal faecal microbiota,2,0,['Microbiota']
demyelination,2,4,['Pathological process']
Regular exercise,2,0,['Activity']
schizophrenia,2,5,"['Neurological Disorder', 'disease']"
inflammation,2,13,"['Biological Process', 'BiologicalProcess', 'Biological process', 'Pathological Process']"
melanin levels,2,3,['Pigment level']
further understanding,2,0,['concept']
translational research,2,1,['Research Field']
acute/chronic insomnia-related signature bacteria,2,0,['Bacteria']
meditation,2,0,['Practice']
PICRUSt analysis,2,0,"['Method', 'bioinformatics tool']"
Polycystic ovarian syndrome,2,0,['Disease']
Coprococcus,2,0,"['Bacteria', 'microbial genus']"
Faecalibacterium,2,0,"['Bacteria', 'Bacterial Genus']"
Lachnospira,2,0,"['Bacteria', 'Microbial Species']"
Klebsiella,2,1,"['Bacteria', 'microbial genus', 'Taxonomic Group']"
α-synuclein overexpressing mice,2,0,['animal model']
insomnia symptomology,2,0,['Symptom']
N-acylphosphatidyl ethanolamines (NAPEs),2,0,['Lipid']
time to complete the Stroop-C,2,1,['Cognitive Test Metric']
Rodent Models,2,0,['Rodent Models']
danger signals,2,0,['signal']
migraine,2,5,"['Neurological Disorder', 'MedicalCondition']"
Multiomics study,2,1,['Research Method']
gut microbiota changes,2,0,"['Biological Entity', 'Microbial Adjustment']"
Flavonoids,2,1,['Chemical']
prebiotic feeding,2,0,['dietary intervention']
gut microbiome composition alterations,2,0,['Biological Process']
association,2,2,"['Relationship', 'concept']"
bin_32,1,1,['Microbial Strain']
duodenal aspirates,1,0,['Sample Type']
gut microbiota shifts,1,0,['Biological Process']
metabolism,1,1,"['biological_process', 'Biological Process']"
increased relative abundance,1,1,['Biological Process']
abnormal intestinal metabolites,1,0,['chemical_substance']
K01667,1,0,['KEGG Orthology']
colonic microbiota,1,0,['Microbiota']
gnotobiotic murine model,1,0,['Model']
coronavirus disease (COVID)-19,1,0,['Disease']
thyme,1,1,['Plant']
GI infections,1,0,['Infection']
severe acute respiratory syndrome coronavirus-2 (SARS-CoV2),1,0,['Virus']
Gut Bacteria,1,1,['Organism']
Zhejiang University,1,0,['Institution']
Shaohua Hu,1,0,['Author']
autonomic nervous system dysregulation,1,0,['physiological state']
trimethylamine N-oxide,1,0,['Biochemical']
Lactobacillus genus,1,0,['MicrobialGenus']
glutamic acid,1,1,['Chemical']
Autism Spectrum Disorder,1,1,['Disease']
HPA axis,1,0,['biological system']
oregano,1,1,['Plant']
immune routes,1,1,['biological process']
cardiac tissue proteome,1,0,['Proteome']
protein oxidation,1,0,['BiologicalProcess']
vagus nerve,1,1,"['Anatomical Structure', 'Anatomical structure']"
subjects,1,0,['Population Group']
CCDC173,1,0,['Gene']
microbial tryptophan metabolism,1,1,['metabolic process']
migraine headache,1,0,['MedicalCondition']
metabolic mismatch,1,1,['biological state']
Toll-like receptor 2 signaling pathways,1,1,['Physiological Process']
Ruminococcaceae Incertae Sedis,1,1,['Organism']
patients with depression,1,0,['Patient Group']
Gut Microbiota Taxa,1,1,['Biological Entity']
Mental Illnesses,1,0,['Mental Health Condition']
Gut microbiome alterations,1,0,['Biological process']
Gut-Brain Axis,1,2,"['Biological Entity', 'Physiological Axis']"
gut microbiota-derived metabolites,1,0,['metabolites']
Frontiers in Psychiatry,1,0,['Journal']
Toll-like receptor 4 signaling pathways,1,1,['Physiological Process']
Multiple Sclerosis,1,0,['Neurological Disorder']
Influenza Virus Infection,1,0,['Infectious Disease']
primary outcome,1,0,['Outcome']
prebiotic high-fiber diet,1,0,['diet']
specific probiotics,1,0,['Intervention']
Host Gene Regulation,1,1,['Biological Process']
Desulfovibrionaceae,1,0,['Organism']
Toll-like receptors,1,0,['Protein']
ratios of meat to pulses,1,0,['diet component']
Butyrate,1,0,['Substance']
fermenting dietary fibers,1,1,['Process']
exogenous acetate supplement,1,0,['Therapeutic Intervention']
16S rRNA sequencing,1,1,"['method', 'technique']"
decreased diversity,1,0,['Biological Process']
Enterococcus,1,0,['Taxonomic Group']
Escherichia,1,0,['Taxonomic Group']
Bilophila,1,0,['Taxonomic Group']
Chronic unpredictable mild stress (CUMS),1,0,['Stress Model']
cognitive symptoms,1,0,['Symptom']
plagues,1,0,['Pathological feature']
Random Forests (RF) classification,1,0,['Classification Method']
melanomas,1,0,['Disease']
DNA damage,1,0,['Factor']
usage of fertilizers,1,0,['agricultural practice']
Amyotrophic lateral sclerosis,1,0,['Disease']
Viral infections of the brain,1,0,['Infection']
brain,1,7,"['Anatomical Structure', 'organ', 'Tissue type', 'biological organ', 'Organ', 'Biological Entity']"
inflammation in the brain,1,1,['Biological process']
farming density of pigs,1,0,['agricultural practice']
Energy from ATP,1,0,['Energy source']
SARS-CoV2 infection,1,0,['Infection']
melanin,1,0,['Pigment']
A. muciniphila,1,1,['microbial taxon']
increase in alcohol intake,1,0,['diet component']
meta-analysis,1,1,['Statistical Method']
16S rRNA gene sequencing,1,2,"['Method', 'Technique']"
Vasovagal syncope,1,0,['Medical Condition']
participant,1,0,['Human']
Microbiota-gut-brain dysfunction,1,0,['Physiological Dysfunction']
V4 16S rRNA gene sequencing,1,0,['Sequencing Method']
Lachnoclostridium,1,2,['Genus']
rodent models,1,0,['Rodent Models']
pro-inflammatory state,1,0,['Physiological State']
16S ribosomal RNA analysis,1,0,['Lab test']
Serum and brain metabolite concentrations,1,1,['Metabolite Concentrations']
Tryptophan metabolism,1,2,['Metabolism']
patients with COVID-19,1,0,['Patient Population']
Colorectal cancer,1,3,['Disease']
Jun Yu,1,0,['Researcher']
Bibliometric methods,1,0,['Research Methodology']
Specific microorganisms,1,0,['Microbial Species']
body-first progression,1,2,['Progression Type']
brain-first progression,1,2,['Progression Type']
individuals,1,0,['Population']
Modification of the gut microbiota,1,0,['Biological Process']
untargeted metabolomic analysis,1,0,['Lab test']
Abnormal microbiota,1,0,['Microbial Community']
Antidepressant medications,1,1,['Medication']
Chronic consumption of Lactobacillus reuteri ATG-F4,1,0,['Probiotic Treatment']
Htr1a,1,1,['Gene']
Restoring gut microbiota,1,0,['Therapeutic Intervention']
age-related upward pattern,1,1,['trend']
schizophrenia severity,1,0,['disease_state']
evidence,1,0,['scientific evidence']
third hierarchical level of KEGG pathways,1,0,['Pathway Level']
Alterations in gut microbiota,1,0,['Biological Change']
overactive hypothalamic-pituitary-ovarian and hypothalamic-pituitary-adrenal axes,1,0,['Physiological Process']
micronutrient supplementation,1,0,['Dietary Factor']
abnormal levels of neurotransmitters,1,0,['Biochemical Abnormality']
leucine,1,0,['Metabolite']
epiandrosterone sulfate,1,0,['Metabolite']
3-dehydrocarnitine,1,0,['Metabolite']
targeting the gut microbiome,1,0,['therapeutic strategy']
genus_Eggerthella,1,0,['Microbial Taxon']
genus_Coprococcus2,1,0,['Microbial Taxon']
Family_Ruminococcaceae,1,0,['Microbial Taxon']
CT-26,1,0,['Cell Line']
DNA methylation,1,0,['Epigenetic Mechanism']
data science techniques,1,0,['Methodology']
Gut microbiota modulation,1,0,['Therapeutic Strategy']
central nervous system (CNS),1,1,['nervous system']
Downregulation of Htr1a,1,0,['Gene Expression Change']
AAV-shRNA,1,0,['Gene Editing Tool']
Maintaining gut microbiota,1,0,['Therapeutic Intervention']
Traditional depression treatments,1,0,['Treatment']
world,1,0,['global']
genus_Eubacterium (xylanophilum_group),1,0,['Microbial Taxon']
Metabolites,1,0,['Biological Entity']
Obstructive Sleep Apnea,1,11,['Disease']
Ruminococcus-2,1,0,['Bacteria']
changes in human health,1,1,['Biological Process']
Inflammatory bowel disease,1,0,['Disease']
Anaerostipes,1,0,['Bacteria']
Fusobacterium nucleatum,1,0,['Microbial Species']
Bile acids,1,0,['Biochemical Compound']
16s rRNA sequencing technique,1,0,['Sequencing Method']
Random Forest classifier,1,0,['Machine Learning Model']
Gut Microbiota-associated Epitopes,1,0,['Molecule']
genus level of taxonomy,1,0,['Taxonomic Level']
Correcting microbiota disturbances,1,0,['Therapeutic Intervention']
Eyes Absent Homolog 1 Isoform 4 (EYA1),1,0,['Protein']
Paired Box Protein Pax-3 (PAX3),1,0,['Protein']
Gap Junction Alpha-1 (GJA1),1,0,['Protein']
post-COVID-19 IBS,1,1,['Condition']
CREB3L3,1,0,['Gene']
Web of Science Core Collection,1,0,['Database']
Lipid Metabolism Pathways,1,0,['Biological Pathway']
gut microbial,1,0,['microbial community']
K11358,1,0,['KEGG Orthology']
baseline changes in microbiota,1,0,['Biological Change']
Random Forests (RF) algorithm,1,0,['Algorithm']
role of host microbiota,1,1,['concept']
gut microbiota alterations,1,0,['Alteration']
Listeriolysin O Peptide,1,0,['Molecule']
oxaliplatin,1,0,['Chemotherapy Drug']
CiteSpace,1,0,['Software Tool']
Parabacteroides,1,1,"['Organism', 'Bacteria']"
GABA,1,1,['Neurotransmitter']
treatment-emergent changes in microbiota,1,0,['Biological Change']
Journal of Psychiatric Research,1,0,['Journal']
Evans,1,0,['Author']
ratios of poultry meat to pulses,1,0,['diet component']
fecal microbiota transplant,1,0,['Therapeutic Intervention']
Gut dysbiosis,1,0,['Condition']
Mice,1,0,['Rodent Models']
Healthcare systems,1,0,['System']
genus_Ruminococcaceae (UCG009),1,0,['Microbial Taxon']
microbial tryptophan (Trp) biosynthesis and metabolism pathway,1,0,['Pathway']
Chronic unpredictable stress (CUS),1,0,['Stress Model']
5-HT receptor HTR2A,1,0,['Receptor']
5-HT,1,1,['Neurotransmitter']
IL-17A,1,1,['Cytokine']
MCP-1,1,1,['Cytokine']
metabolic changes,1,1,['Metabolic Process']
gut microbiota composition alteration,1,0,['Microbiome Change']
K01817,1,0,['KEGG Orthology']
Actinobacteria,1,0,['Bacterial Phylum']
VOSviewer,1,0,['Software Tool']
gut microbe,1,1,['Microbial Community']
genus_Subdoligranulum,1,0,['Microbial Taxon']
MiTBamp,1,0,['Pathway']
Succinivibrio,1,0,['microbial genus']
apolipoprotein B,1,0,['Biochemical Index']
Tibetan Buddhist meditation,1,0,['Practice']
TNFα,1,0,['Protein']
IFNγ,1,0,['Protein']
Dysbiosis of intestinal microbiota,1,0,['Condition']
Regulating intestinal microbiota,1,2,['Therapeutic Strategy']
current study,1,0,['Research Study']
Genomic signatures,1,0,['Genomic Feature']
Fucose permease (COG0738),1,0,['Transporter']
infant's nasal microbiota,1,0,['microbiota']
infants born by Caesarean section,1,0,['infant']
feeding mode,1,0,['feeding']
neonatal period,1,0,['Time Period']
Random Forests (RF),1,0,['Algorithm']
classification model,1,2,['Model']
KEGG orthology (KO) K01696,1,0,['Gene Orthology']
gastrointestinal symptoms,1,3,"['Symptom', 'gastrointestinal symptom']"
formation pathways,1,0,['Process']
potential health effects,1,0,['Health']
Elevated Plus Maze,1,0,['Behavioral Test']
Forced Swim Test,1,0,['Behavioral Test']
faecal microbiota,1,0,['Microbiota']
prenatal diet,1,0,['Diet']
Proteobacteria,1,0,['microbial phylum']
Megasphaera,1,0,['microbial genus']
Collinsella,1,0,['microbial genus']
vitamin B6,1,0,['metabolic pathway']
Interferon-γ,1,0,['Cytokine']
Tumor Necrosis Factor-α,1,0,['Cytokine']
"Indoleamine 2,3-Dioxygenase-1",1,0,['Enzyme']
Microbiota,1,0,['Gut Microbiota']
healthy prenatal diet,1,0,['Diet']
alpha diversity of maternal faecal microbiota,1,0,['Microbiota Diversity']
Faecalibacterium spp.,1,0,['Bacteria']
Coprococcus spp.,1,0,['Bacteria']
Short-term FD diet,1,0,['Dietary factor']
Gut microbiota profile,1,0,['Microbial community']
Hippocampal synaptic ultrastructure,1,0,['Organ part']
Synaptic clefts,1,0,['Anatomical structure']
Blautia spp.,1,0,['Bacteria']
Phylum Bacteroidetes,1,0,['Taxonomic Group']
Prevotellaceae,1,0,['Bacteria']
Fecal Microbiota,1,0,['Biological Entity']
KEGG orthology (KO) K00382,1,0,['Gene Orthology']
KEGG orthology (KO) K00626,1,0,['Gene Orthology']
Postsynaptic densities,1,0,['Anatomical structure']
Hippocampal proteomic analysis,1,0,['Biological process']
CaMKIId,1,1,['Protein']
Microglia,1,0,['Cell type']
Prevotella spp.,1,0,['Bacteria']
Phylum Actinobacteria,1,0,['Taxonomic Group']
Microbiome Stability,1,0,['Biological Stability']
6 species,1,0,['Taxonomic Group']
KEGG orthology (KO) K00658,1,0,['Gene Orthology']
KEGG orthology (KO) K00837,1,0,['Gene Orthology']
Oral Probiotics,1,0,['Therapeutic Agent']
Methanobrevibacter,1,0,['microbial genus']
Six-Week Treatment,1,0,['Treatment Period']
interactions between bacterial species,1,0,['Interaction']
Verrucomicrobia,1,1,['Organism']
obesity,1,2,"['medical condition', 'disease', 'Disease']"
12 significant microbiota biomarkers,1,0,['biomarkers']
gut microbial composition,1,0,['Physiological Process']
fatty acid,1,0,['metabolic pathway']
sample collection,1,0,['Method']
sample analysis,1,0,['Method']
high taxonomic resolution,1,1,['Resolution']
Fecal Microbiota Samples,1,0,['Sample']
Omega-3 fatty acids,1,0,['Micronutrient']
Roseburia,1,1,"['microbial species', 'microbial genus']"
Subdoligranulum,1,2,"['Organism', 'microbial species', 'Microbial Species']"
consumption of whole grain cereals,1,0,['dietary intake']
consumption of simple sugars,1,0,['dietary intake']
consumption of SFA,1,0,['dietary intake']
consumption of monounsaturated fatty acids,1,0,['dietary intake']
LEfSe,1,0,['Method']
Traumatic brain injury,1,0,['Injury']
Genetic variability,1,0,['Factor']
Epigenetic changes,1,0,['Factor']
Oxidative stress,1,0,['Factor']
Nitrosative stress,1,0,['Factor']
Mitochondrial dysfunction,1,0,['Factor']
current research,1,0,['research']
Metabolic Pathways,1,1,['Biological Process']
ratios of eggs to pulses,1,0,['diet component']
diet quality,1,0,['diet component']
increase in total calorie intake,1,0,['diet component']
vagal inhibition,1,0,['Intervention']
vagotomy,1,0,['Surgical Procedure']
microbiota metabolite acetate,1,0,['Metabolite']
human body,1,0,['organism']
bariatric surgery,1,0,['medical procedure']
